State,Name,Website,Description
AL,Alabama International Trade Center,www.aitc.ua.edu,"Focus: Counseling, training, and assistance for existing businesses that are interested in the international business arena.

Geographic Area: Statewide

Products and Services: One-on-one counseling and training for established businesses and start-ups. Customized market research reports and loan packaging.

Age Level: All 

Key Partners: U.S. Small Business Administration, Alabama Small Business Development Consortium, Southern United States Trade Association, U.S. Department of Agriculture—Foreign Agricultural Service, Appalachian Regional Commission, Alabama Forestry Commission, Alabama Department of Agriculture.

Abstract: The Alabama International Trade Center (AITC) works one-on-one with small businesses to help them enter and sell in export markets. Its services include market research, training, and export financing. The center focuses on new-to-export firms, targets state industries with export potential, and tracks export sales results.

The trade center was established in 1979. Today the trade center employs seven full-time professionals, four consultants, and fifteen student assistants. It operates as a federal-state partnership program between the University of Alabama and the U.S. Small Business Administration, and promotes SBA's export financing programs in Alabama.

The trade center is an institutional member of the Alabama Small Business Development Consortium, a statewide network of 10 management and technical assistance centers. The center works in partnership with two other state agencies—the Alabama Forestry Commission and the Alabama Department of Agriculture—to increase exports of value-added forest products and processed foods from the state."
AL,Alabama REAL Enterprises,http://prsr.ua.edu/alabamareal/,"Focus: Experiential entrepreneurship education for elementary, middle, and high schools, as well as community colleges and adult entrepreneurship programs. Also adaptable for after-school, out-of-school, and camp contexts.

Geographic Area: Alabama

Products and Services: Train-the-trainer; classroom instruction; technical assistance; formats for student, teacher, and community collaboration; statewide conference

Age Level: Children (grades 5-8), youths (grades 9-12), and adults of all ages

Key Partners: REAL Enterprises; PACERS Small Schools Cooperative; Program for Rural Services and Research-University of Alabama; ARC; Lyndhurst Foundation; schools (K-14) and school systems

Abstract: Alabama REAL is an initiative of the Program for Rural Services and Research at the University of Alabama. It provides entrepreneurial education and opportunity to students and communities in schools throughout Alabama. Alabama REAL is the state franchise of REAL Enterprises through which teachers are trained and curriculum provided.

Alabama REAL, in collaboration with the PACERS Cooperative, a statewide association of rural schools and communities, offers students opportunities to initiate and operate school and community-based businesses and to develop important skills necessary for successful employment and for entrepreneurial development.

Students operate aquaculture, publishing, photography, sewing, computer, information, printing, and other businesses that require the use of industry-standard tools. Alabama REAL brings together students, teachers, and others interested in entrepreneurship and community development to share ideas and develop common strategies and programs."
AL,"Auburn University - Economic Development Institute 
Youth Entrepreneurial Community Development",http://www.auburn.edu/outreach/edu,"Focus: Incorporate youth entrepreneurial curricula into a high school class within four school systems, educate and train students, and assist each class in establishing a business.

Geographic Area: High schools in four Alabama counties: Chambers, Elmore, Macon, and Tallapoosa

Products and Services: Youth entrepreneurship curricula for high schools, entrepreneurship training for teachers and students, establishment of Community Development Volunteer Management Systems

Age Level: High School Students 

Key Partners: Appalachian Regional Commission, Rural Enterprise Action Learning (REAL) Enterprises

Abstract: The purpose of the Youth Entrepreneurship Project, funded by the Appalachian Regional Commission, is to incorporate youth entrepreneurial curricula into a high school class within four school systems, educate and train students, and assist each class in establishing a business. Teachers receive specialized training, in-service training, and retraining while facilitating the establishment of entrepreneurial enterprises by their students.

Advisory Councils are established in each of the communities comprised of individuals who possess expertise compatible with the development of a viable business (from business, education, banking, civic organizations, etc.). Project staff work with community volunteers to create a strategic plan for a Community Development Volunteer Management System. This training and technical assistance is conducted in order to establish ownership and sustainability of the youth entrepreneurship project."
AL,"Bishop State Community College
Youth Entrepreneurial Academy (YEA)
Minority Technology and Entrepreneurial Center ",www.bscc.cc.al.us,"Focus: Youths ages 15–19

Abstract: The Youth Entrepreneurial Academy (YEA) was a six-week program that introduced participants to the entrepreneurial concept, covering such areas as the business plan, keeping records, marketing, etc. We covered the 12 modules in The New Youth Entrepreneur, published by the Kauffman Center for Entrepreneurial Leadership and EDTEC.

The students were ages 15–19, and were working on their GEDs, high school diplomas, or college degrees. The instructor was a business owner for more than 23 years (—The National Inner City (weekly newspaper), Inner City Printers, C. W. Porter Consulting). He is a certified entrepreneurial educator with a bachelor's degree and two master's degrees.

Businesspeople and experts in most of the areas addressed the sessions. Field trips included tours of local businesses and a trip to the University of Alabama in Tuscaloosa and Alabama State University in Montgomery. The youth entrepreneurs were exposed to every offering available that pertained to entrepreneurship; including SBA–sponsored workshops, participating in a university-level class in entrepreneurial education.

At least three participants have immediate plans for after-school business startups. All participants plan to complete college and to work in their areas of business interest prior to starting serious ventures. Several participants plan to enter the Bishop State Community College's second level involving actual business operation, a partnership program with local banks."
AL,Eva School - The Eva Examiner,none listed,"Focus: School/community newspaper

Geographic Area: Eva school district

Age Level: Seventh and eighth grade students in a K-8 school

Key Partners: Grant from Alabama State Council on the Arts, grant from local Wal-Mart, a federal mini-grant, local business sponsors, and Alabama Web Press, the publishing company.

Abstract: Qualified students devote one class period during the school year to produce a newspaper that serves the whole school and the community. Students on the newspaper staff communicate with faculty, staff, students, community members and leaders, local politicians, and area businesses to complete the process of developing the paper. The students make contacts for articles, write and edit the articles, and design the graphic layout of the newspaper. 

In the first year four issues were published, one every nine weeks. In the second year students decided to print five issues, and the size of the newspapers has increased to 16 pages. Four pages are devoted to community news, seven to school news, two to church news, and one page each to Classified/Puzzles, Recipes/Quotes, and student artwork. The school/community newspaper is a part of history by preserving and sharing the community of Eva's cultural heritage and history. There has not been a local newspaper in quite some time.

The paper is printed by a professional printer and sells for $.50 a copy. Ad sales accounted for $1,035 in the first year. The members of the newspaper staff are responsible for selling newspapers each time they are printed. As more funds and computers are acquired, the newspaper staff wishes to distribute the paper to a wider range of readers."
AL,Lanier High School,none listed,"Focus: High school students

Geographic Area: Alabama

Age Level: 10th-12th grade

Abstract: There is a new State Department Curriculum this year which will go into use next school year. Basic and advanced classes in marketing and classes in entrepreneurship will be taught. This is the first time a separate class just in entrepreneurship has been taught at Lanier High School and the student interest in taking the class is very good. Some of the students are coop. The students participate yearly in the local and state DECA competitions and sometimes make it to nationals. Most of the students will not go to college, so this class will give them a look into career opportunities they may not know about through any other class they may take in high school. Some students know people who own their own businesses and this class gives us an opportunity to talk to them as speakers in class to get alot of first hand information to help the student understand business ownership."
AL,NxLeveL Entrepreneurial Training Program,none listed,"Focus: to provide an in-depth entrepreneurial training curriculum to small-business owners in the ARC service region of Alabama.

Geographic Area: Alabama

Key Partners: U.S. SBA and State of Alabama

Abstract: The ASBDC provides the 12-week NxLeveL entrepreneurial training program at 10 locations statewide and a similar, internally developed procurement program at one additional location. The purpose of the project is to implement a structured, fully developed entrepreneurship program statewide, using ARC funding as seed capital to implement the program in northern Alabama initially. Private-sector funding was obtained to subsidize expenses in lower Alabama. The program incorporates training sessions on marketing, finance, management, entrepreneurship, start-up options and issues, and other pertinent topics. Participants will complete a business plan for their business during the program.

Several measures will be used to evaluate the effectiveness of the program. They are:

Number of participants completing the program (attending all program sessions).
Number of pre-business and existing business participants completing business plans.
Client satisfaction surveys completed by clients following completion of the program.
Impact survey measurement of job creation and retention.
Impact survey measurement of participants' sales growth.
Impact survey measure of capital formation.
The Alabama Small Business Development Consortium (ASBDC) is a consortium of 11 state universities that operate business assistance programs. The ASBDC operates the Small Business Development Center (SBDC) and Procurement Technical Assistance programs in the state of Alabama as well as the Alabama International Trade Center. The ASBDC operates 11 service centers and two satellite centers in the state of Alabama.

Through cooperative agreements with the U.S. Small Business Administration, each SBDC conducts research, counsels, and trains small-business people in a wide variety of business topics and provides comprehensive information services and access to experts in many fields. Through cooperative agreements with the U.S. Defense Logistics Agency, the SBDCs assist firms and counsel them on doing business with federal, state, and local agencies."
AL,Oakman High School,none listed,"Focus: Student-run newspaper for school and community

Geographic Area: Rural community

Age Level: High school students

Key Partners: The PACERS Cooperative, ACCESS ( a statewide not-for-profit organization that supports small rural public schools and their communities), the Program for Rural Services at the University of Alabama, and local businesses.

Abstract: The Oakman Times is an eight-page broadsheet school/community newspaper published approximately every 6 weeks entirely by the students in Oakman High School, a rural 2A school in Walker County. The newspaper is a successful business with every aspect of production run fully by students. Ranging in grades 7 - 12, students have been producing the newspaper for almost 10 years.

In many ways the newspaper project develops students' ""entrepreneurial skills"" while increasing student confidence and competence to function in a real world environment. Production of the newspaper is supported wholly by advertising, newspaper sales, and special event fund raisers and has been self-sustaining for ten years.

The front page is usually reserved for the most timely articles and have a state or national focus that can be tied to the local community. The Oakman Times incorporates three pages devoted entirely to community-centered articles. These pages contain stories that highlight exceptional or interesting community members and students, local business openings, closings, or opportunities, or any local event. There are full pages devoted to editorials, local sports stories, and the Oakman Elementary School. Other pages include section on religion, technology, and health."
AL,Shoals Entrepreneurial Center,Shoals Entrepreneurial Center: Home,"Focus: Our mission is to provide young businesses a sheltered environment for developing the management, financial, and technical skills necessary to become self-sustaining members of the business community.

Geographic Area: Five-county area in Northwest Alabama.

Products and Services: Provides start-up and expanding small businesses space, shared equipment, on-site consulting, entrepreneurial training, and other shared services such as mailing and shipping, library, and conference room.

Federal Partners: ARC, TVA, USDA, EDA, and ISTEA.

Abstract: The Shoals Entrepreneurial Center (SEC) is a business incubator with sites in Sheffield, Florence Industrial Park, and a new kitchen incubator in downtown Florence. The center has had 82 clients, 74 of which are still in business. The center has had 31 graduates and has a job creation total of 856. These numbers do not include the Shoals Commercial Culinary Center.

SEC has taken on various entrepreneurial education activities in addition to its above-described purpose. Most of the following could not have been accomplished without the assistance of the Appalachian Regional Commission.

Historically, most people in Northwest Alabama have grown up with the idea that they were going to work for an employer. In order to create an infrastructure for encouraging entrepreneurship, it was imperative for the SEC to initiate an educational campaign for its citizens. The following characterizes some SEC activities to promote entrepreneurial events on an ongoing basis:

Entrepreneurship presentations in various school systems and colleges
Booths at school career day
Booths at local Chamber Mart
Host visits from school entrepreneurial classes
Host visits from Youth Leadership Shoals
In regard to past activities, SEC held a one-day, five-hour Youth Entrepreneurship Training Workshop on the campus of the University of North Alabama, which was attended by over 120 eleventh grade students from Lauderdale, Colbert, Franklin, Marion and Winston Counties. Thirty-two out of the thirty-five area schools participated. Preceding the conference, students completed a pretest questionnaire on entrepreneurial attitudes, knowledge and behavior. At the conclusion of the conference, tests were administered, and a final post-test was administered a few months later.

SEC held a second training workshop the following year, which was attended by 108 junior and senior high school students. SEC has produced both radio and television Public Service Announcements that promote youth entrepreneurship. A media blitz, promoting entrepreneurial awareness, both preceded and followed each of the workshops. SEC videotaped and edited each of the YEC workshops. Copies were sent to all area schools to keep in their libraries or to use in business classes.

The University of North Alabama School of Business agreed to take on the YEC program and they had a successful third year and are working on the program for the forth year.

Shoals Entrepreneurial Center obtained grant monies and partnered with Pacer Cooperative/REAL Enterprises, Inc. to present a hands-on entrepreneurship course, already developed and tested, to two rural area high schools, Lauderdale County and Waterloo High School. The course leads students through the actual establishment of a small business of their own design. This provided training for the students and for the teachers involved who will then be committed to passing that training on to other teachers and students.

SEC, in coordination with the Northwest Shoals Community College, filmed, edited, and aired a program presented by students of Lauderdale County High Schools Pacer /REAL program. These students also, presented a program at this year Youth Entrepreneurial Workshop.

To further broaden the entrepreneurial infrastructure of our area, the SEC has worked on and subcontracted parts of a training workbook titled ""How to Start Your Own Business"" as well as a Shoals Area Small Business Resource Guide. The training workbook is accessible in hard copy, on CD, and through our web site at http://www.shoalsec.com. The Resource Guide is available in hard copy only. SEC also developed a video featuring successful area entrepreneurs, which has aired numerous times on the NWSCC cable channel.

We are presently partnering with the local SBDC to develop and distribute a newsletter to any interested business across SBDC's 7 county area that provides an up-to-date calendar of events and information that affects small businesses.

SEC has purchased an entrepreneurial training tape series that will be aired on NWSCC cable channel for course credit, continuing education, and general awareness."
AK,Alaska Cooperative Extension—Kaltag Fisheries Youth Development Project,none listed,"Focus: Fisheries education

Geographic Area: Interior Alaska

Age Level: 12–18

Key Partners: Tribal councils; Kuskakwim Native Association; U.S. Fish and Wildlife Service; and Alaska Fish and Game.

Abstract: This collaborative initiative targets Native American youths in 40 rural villages in Alaska. The program began when Native elders asked the local school system to teach fisheries management skills in order to train youths and ensure sustainable use of the resource.

The program, a partnership between tribes, schools, and the Cooperative Extension, is designed to prepare young people to enter the local fishing industry. The program includes intense education and training in fisheries management, biology, and technology, and offers summer employment. In addition, the initiative works to prevent teen suicide, drug use, pregnancy, and chronic unemployment. It currently serves 16 rural communities and the Yukon."
